CODE,NAME,Code for Project,KEY,General Description
404,"A&B HANDS, FEET, ETC.  - MED. ATTENTION REQ.",1,1,Assault and Battery
424,"A&B HANDS, FEET, ETC. - PO MED. ATTENTION REQ. ",1,2,Abduction
803,A&B ON POLICE OFFICER,1,3,Arson
2611,ABDUCTION - INTICING,2,4,Auto Theft
900,ARSON,3,5,B&E (breaking and entering)
907,ARSON - ALL OTHER STRUCTURES,3,6,Burglary/ Robbery
906,ARSON - COMMUNITY/PUB.STRUC.,3,7,Drugs
920,ARSON - MOTOR VEHICLES,3,8,Explosions/ Explosives
902,ARSON - MULTIPLE DWELLING,3,9,Larcency
930,ARSON - OTHER,3,10,Manslaughter/Murder
905,ARSON - OTHER COMMERCIAL,3,11,Rape/SA
901,ARSON - SINGLE DWELLING,3,12,Human Trafficking
423,ASSAULT - AGGRAVATED,1,,
413,ASSAULT - AGGRAVATED - BATTERY,1,,
801,ASSAULT - SIMPLE,1,,
401,ASSAULT & BATTERY D/W - GUN,1,,
421,ASSAULT & BATTERY D/W - GUN ON POLICE OFFICER,1,,
402,ASSAULT & BATTERY D/W - KNIFE,1,,
422,ASSAULT & BATTERY D/W - KNIFE ON POLICE OFFICER,1,,
403,ASSAULT & BATTERY D/W - OTHER,1,,
411,ASSAULT D/W - GUN,1,,
431,ASSAULT D/W - GUN ON POLICE OFFICER,1,,
412,ASSAULT D/W - KNIFE,1,,
432,ASSAULT D/W - KNIFE ON POLICE OFFICER,1,,
433,ASSAULT D/W - OTHER ON POLICE OFFICER,1,,
802,ASSAULT SIMPLE - BATTERY,1,,
723,ATTEMPTED AUTO THEFT,4,,
724,AUTO THEFT,4,,
727,AUTO THEFT - LEASED/RENTED VEHICLE,4,,
706,AUTO THEFT - MOTORCYCLE / SCOOTER,4,,
735,AUTO THEFT - OUTSIDE - RECOVERED IN BOSTON,4,,
780,AUTO THEFT - RECOVERED IN BY OTHER,4,,
770,AUTO THEFT - RECOVERED IN BY POLICE,4,,
790,AUTO THEFT - RECOVERED OUTSIDE,4,,
714,AUTO THEFT OTHER,4,,
715,AUTO THEFT OTHER - OUTSIDE RECOVERED IN BOS,4,,
712,AUTO THEFT OTHER - RECOVERED IN BY OTHER,4,,
711,AUTO THEFT OTHER - RECOVERED IN BY POLICE,4,,
713,AUTO THEFT OTHER - RECOVERED OUTSIDE,4,,
704,AUTO THEFT TRUCK,4,,
702,AUTO THEFT TRUCK - RECOVERED IN BY OTHER,4,,
701,AUTO THEFT TRUCK - RECOVERED IN BY POLICE,4,,
543,B&E NON-RESIDENCE DAY - NO PROP TAKEN,5,,
547,B&E NON-RESIDENCE DAY - NO PROP TAKEN,5,,
531,B&E NON-RESIDENCE NIGHT - ATTEMPT FORCE,5,,
530,B&E NON-RESIDENCE NIGHT - FORCE,5,,
532,B&E NON-RESIDENCE NIGHT - NO FORCE,5,,
537,B&E NON-RESIDENCE NIGHT - NO PROP TAKEN,5,,
527,B&E RESIDENCE DAY - NO PROP TAKEN,5,,
511,B&E RESIDENCE NIGHT - ATTEMPT FORCE,5,,
510,B&E RESIDENCE NIGHT - FORCE,5,,
512,B&E RESIDENCE NIGHT - NO FORCE,5,,
517,B&E RESIDENCE NIGHT - NO PROP TAKEN,5,,
541,BURGLARY - COMMERICAL - ATTEMPT,6,,
540,BURGLARY - COMMERICAL - FORCE,6,,
542,BURGLARY - COMMERICAL - NO FORCE,6,,
561,BURGLARY - OTHER - ATTEMPT,6,,
560,BURGLARY - OTHER - FORCE,6,,
562,BURGLARY - OTHER - NO FORCE,6,,
521,BURGLARY - RESIDENTIAL - ATTEMPT,6,,
520,BURGLARY - RESIDENTIAL - FORCE,6,,
522,BURGLARY - RESIDENTIAL - NO FORCE,6,,
1805,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,7,,
1806,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,7,,
1807,DRUGS - CLASS D TRAFFICKING OVER 50 GRAMS,7,,
1870,DRUGS - CONSP TO VIOL CONTROLLED SUBSTANCE,7,,
2609,DRUGS - GLUE INHALATION,7,,
1874,DRUGS - OTHER,7,,
1858,DRUGS - POSS  CLASS C,7,,
1842,"DRUGS - POSS CLASS A - HEROIN, ETC. ",7,,
1841,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,7,,
1849,"DRUGS - POSS CLASS B - COCAINE, ETC.",7,,
1848,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,7,,
1844,DRUGS - POSS CLASS C,7,,
1855,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,7,,
1845,DRUGS - POSS CLASS D,7,,
1864,DRUGS - POSS CLASS D - INTENT MFR DIST DISP,7,,
1863,"DRUGS - POSS CLASS D - MARIJUANA, ETC.",7,,
1846,DRUGS - POSS CLASS E,7,,
1850,DRUGS - POSS CLASS E - INTENT TO MFR DIST DISP,7,,
1866,DRUGS - POSS CLASS E INTENT TO MF DIST DISP,7,,
1868,DRUGS - POSS. HYPODERMIC NEEDLE,7,,
